"MES_ANO";"UF";"Municipio_N";"Diagnostico_N";"QUANTIDADE"
"2007-01-01";"RO";11;2;16
"2007-01-01";"RO";39;2;18
"2008-01-01";"RO";11;2;132
"2009-01-01";"RO";11;2;567
"2011-01-01";"RO";8;2;3
"2012-01-01";"RO";27;2;1
"2012-01-01";"RO";21;2;391
"2012-01-01";"RO";13;2;2
"2012-01-01";"RO";39;2;260
"2013-01-01";"RO";40;2;1
"2013-01-01";"RO";39;2;128
"2014-01-01";"RO";16;2;430
"2014-01-01";"RO";11;2;69
"2017-01-01";"RO";49;2;11
"2018-01-01";"RO";17;2;2
"2018-01-01";"RO";13;2;1
"2018-01-01";"RO";12;2;2
"2018-01-01";"RO";50;2;13
"2018-01-01";"RO";39;2;75
"2020-01-01";"RO";11;2;1
"2007-02-01";"RO";11;2;29
"2007-02-01";"RO";39;2;27
"2008-02-01";"RO";16;2;752
"2009-02-01";"RO";16;2;2116
"2009-02-01";"RO";11;2;249
"2011-02-01";"RO";16;2;650
"2012-02-01";"RO";40;2;1
"2013-02-01";"RO";39;2;65
"2013-02-01";"RO";3;2;1
"2014-02-01";"RO";21;2;166
"2014-02-01";"RO";3;2;2
"2015-02-01";"RO";20;2;1
"2015-02-01";"RO";11;2;125
"2017-02-01";"RO";13;2;1
"2017-02-01";"RO";16;2;75
"2018-02-01";"RO";21;2;149
"2018-02-01";"RO";35;2;3
"2018-02-01";"RO";39;2;103
"2019-02-01";"RO";49;2;2
"2020-02-01";"RO";49;2;1
"2008-03-01";"RO";21;2;210
"2009-03-01";"RO";13;2;3
"2009-03-01";"RO";39;2;600
"2011-03-01";"RO";40;2;1
"2011-03-01";"RO";39;2;435
"2012-03-01";"RO";41;2;3
"2012-03-01";"RO";39;2;267
"2013-03-01";"RO";16;2;41
"2014-03-01";"RO";16;2;301
"2015-03-01";"RO";13;2;2
"2016-03-01";"RO";5;2;1
"2016-03-01";"RO";11;2;57
"2016-03-01";"RO";1;2;2
"2017-03-01";"RO";49;2;127
"2017-03-01";"RO";39;2;22
"2018-03-01";"RO";24;2;5
"2018-03-01";"RO";49;2;12
"2018-03-01";"RO";35;2;2
"2019-03-01";"RO";23;2;3
"2019-03-01";"RO";12;2;5
"2007-04-01";"RO";36;2;2
"2008-04-01";"RO";39;2;51
"2009-04-01";"RO";3;2;2
"2010-04-01";"RO";51;2;110
"2010-04-01";"RO";44;2;3
"2012-04-01";"RO";36;2;1
"2013-04-01";"RO";16;2;230
"2014-04-01";"RO";39;2;97
"2015-04-01";"RO";51;2;1
"2017-04-01";"RO";21;2;392
"2017-04-01";"RO";23;2;1
"2017-04-01";"RO";35;2;1
"2018-04-01";"RO";16;2;47
"2019-04-01";"RO";24;2;5
"2019-04-01";"RO";21;2;1049
"2019-04-01";"RO";40;2;5
"2019-04-01";"RO";49;2;1
"2019-04-01";"RO";39;2;688
"2006-05-01";"RO";39;2;9
"2007-05-01";"RO";39;2;56
"2008-05-01";"RO";39;2;214
"2009-05-01";"RO";11;2;580
"2010-05-01";"RO";43;2;1
"2012-05-01";"RO";19;2;1
"2012-05-01";"RO";39;2;192
"2013-05-01";"RO";48;2;1
"2013-05-01";"RO";1;2;2
"2014-05-01";"RO";41;2;1
"2014-05-01";"RO";13;2;1
"2015-05-01";"RO";24;2;1
"2015-05-01";"RO";11;2;55
"2015-05-01";"RO";4;2;1
"2016-05-01";"RO";11;2;1
"2016-05-01";"RO";1;2;3
"2017-05-01";"RO";16;2;100
"2018-05-01";"RO";5;2;1
"2018-05-01";"RO";12;2;7
"2019-05-01";"RO";40;2;5
"2019-05-01";"RO";11;2;855
"2008-06-01";"RO";11;2;389
"2009-06-01";"RO";13;2;4
"2009-06-01";"RO";32;2;1
"2009-06-01";"RO";3;2;1
"2010-06-01";"RO";45;2;1
"2010-06-01";"RO";29;2;3
"2010-06-01";"RO";39;2;1040
"2011-06-01";"RO";26;2;4
"2011-06-01";"RO";16;2;876
"2012-06-01";"RO";40;2;2
"2012-06-01";"RO";39;2;388
"2012-06-01";"RO";3;2;1
"2013-06-01";"RO";21;2;73
"2013-06-01";"RO";40;2;2
"2014-06-01";"RO";13;2;1
"2014-06-01";"RO";40;2;2
"2016-06-01";"RO";11;2;57
"2017-06-01";"RO";36;2;1
"2018-06-01";"RO";16;2;154
"2018-06-01";"RO";51;2;1
"2019-06-01";"RO";17;2;1
"2019-06-01";"RO";33;2;1
"2006-07-01";"RO";21;2;75
"2006-07-01";"RO";39;2;7
"2007-07-01";"RO";11;2;5
"2009-07-01";"RO";11;2;539
"2010-07-01";"RO";40;2;6
"2010-07-01";"RO";11;2;343
"2011-07-01";"RO";17;2;7
"2012-07-01";"RO";19;2;1
"2012-07-01";"RO";13;2;3
"2013-07-01";"RO";41;2;2
"2013-07-01";"RO";1;2;3
"2015-07-01";"RO";1;2;20
"2015-07-01";"RO";3;2;1
"2017-07-01";"RO";21;2;53
"2017-07-01";"RO";10;2;1
"2017-07-01";"RO";26;2;2
"2017-07-01";"RO";1;2;6
"2018-07-01";"RO";41;2;6
"2018-07-01";"RO";5;2;3
"2018-07-01";"RO";11;2;10
"2018-07-01";"RO";39;2;52
"2019-07-01";"RO";21;2;4138
"2019-07-01";"RO";52;2;1
"2006-08-01";"RO";51;2;16
"2007-08-01";"RO";49;2;12
"2009-08-01";"RO";12;2;1
"2009-08-01";"RO";36;2;136
"2012-08-01";"RO";26;2;2
"2012-08-01";"RO";39;2;561
"2013-08-01";"RO";21;2;313
"2013-08-01";"RO";16;2;437
"2014-08-01";"RO";39;2;203
"2015-08-01";"RO";13;2;3
"2015-08-01";"RO";5;2;2
"2017-08-01";"RO";20;2;2
"2018-08-01";"RO";21;2;26
"2018-08-01";"RO";26;2;6
"2019-08-01";"RO";21;2;385
"2019-08-01";"RO";13;2;7
"2019-08-01";"RO";14;2;3
"2019-08-01";"RO";5;2;1
"2019-08-01";"RO";11;2;4
"2006-09-01";"RO";21;2;100
"2006-09-01";"RO";10;2;9
"2010-09-01";"RO";8;2;1
"2010-09-01";"RO";14;2;1
"2010-09-01";"RO";3;2;1
"2011-09-01";"RO";40;2;1
"2011-09-01";"RO";39;2;46
"2011-09-01";"RO";42;2;1
"2011-09-01";"RO";3;2;1
"2012-09-01";"RO";8;2;1
"2012-09-01";"RO";21;2;194
"2012-09-01";"RO";40;2;2
"2013-09-01";"RO";11;2;39
"2015-09-01";"RO";17;2;1
"2015-09-01";"RO";21;2;69
"2015-09-01";"RO";16;2;169
"2015-09-01";"RO";3;2;1
"2016-09-01";"RO";21;2;28
"2017-09-01";"RO";17;2;3
"2017-09-01";"RO";12;2;2
"2017-09-01";"RO";1;2;6
"2017-09-01";"RO";36;2;1
