"ANO_MES","UF","Municipio_N","Diagnostico_N","QUANTIDADE"
"2008/01",1,"Cacoal","Adenite",1
"2008/01",1,"Colorado do Oeste","Adenite",3
"2008/01",1,"Presidente Médici","Adenite",2
"2009/01",1,"Cabixi","Adenite",2
"2010/01",1,"Primavera de Rondônia","Adenite",3
"2011/01",1,"Alvorada d'Oeste","Adenite",1
"2011/01",1,"Cabixi","Adenite",5
"2011/01",1,"Colorado do Oeste","Adenite",11
"2012/01",1,"Alvorada d'Oeste","Adenite",1
"2012/01",1,"Nova União","Adenite",1
"2012/01",1,"Pimenteiras do Oeste","Adenite",11
"2013/01",1,"São Felipe d'Oeste","Adenite",1
"2014/01",1,"Governador Jorge Teixeira","Adenite",2
"2016/01",1,"Ouro Preto do Oeste","Adenite",2
"2017/01",1,"Costa Marques","Adenite",2
"2017/01",1,"Ministro Andreazza","Adenite",3
"2017/01",1,"Rolim de Moura","Adenite",3
"2018/01",1,"Porto Velho","Adenite",1
"2018/01",1,"Presidente Médici","Adenite",2
"2019/01",1,"Cerejeiras","Adenite",3
"2019/01",1,"Pimenta Bueno","Adenite",1
"2019/01",1,"Pimenteiras do Oeste","Adenite",45
"2007/02",1,"Espigão d'Oeste","Adenite",1
"2008/02",1,"Corumbiara","Adenite",3
"2008/02",1,"Monte Negro","Adenite",1
"2008/02",1,"Pimenteiras do Oeste","Adenite",3
"2008/02",1,"Vilhena","Adenite",3
"2009/02",1,"Corumbiara","Adenite",11
"2011/02",1,"Cacaulândia","Adenite",3
"2011/02",1,"Governador Jorge Teixeira","Adenite",1
"2011/02",1,"Ouro Preto do Oeste","Adenite",8
"2012/02",1,"Presidente Médici","Adenite",3
"2013/02",1,"Chupinguaia","Adenite",6
"2013/02",1,"Jaru","Adenite",2
"2013/02",1,"Pimenteiras do Oeste","Adenite",8
"2014/02",1,"Cerejeiras","Adenite",4
"2014/02",1,"Chupinguaia","Adenite",6
"2015/02",1,"Cabixi","Adenite",2
"2015/02",1,"Pimenteiras do Oeste","Adenite",1
"2015/02",1,"Teixeirópolis","Adenite",1
"2015/02",1,"Vale do Paraíso","Adenite",4
"2016/02",1,"Vilhena","Adenite",4
"2017/02",1,"Ariquemes","Adenite",4
"2017/02",1,"Monte Negro","Adenite",1
"2017/02",1,"Nova Brasilândia d'Oeste","Adenite",1
"2018/02",1,"Alto Alegre dos Parecis","Adenite",1
"2018/02",1,"Cacoal","Adenite",1
"2018/02",1,"Colorado do Oeste","Adenite",23
"2018/02",1,"Cujubim","Adenite",1
"2019/02",1,"Alta Floresta d'Oeste","Adenite",1
"2019/02",1,"Pimenteiras do Oeste","Adenite",22
"2008/03",1,"Colorado do Oeste","Adenite",1
"2008/03",1,"Pimenteiras do Oeste","Adenite",1
"2009/03",1,"Cabixi","Adenite",1
"2009/03",1,"Parecis","Adenite",1
"2009/03",1,"Pimenta Bueno","Adenite",1
"2011/03",1,"Ariquemes","Adenite",2
"2011/03",1,"Chupinguaia","Adenite",2
"2012/03",1,"Santa Luzia d'Oeste","Adenite",6
"2013/03",1,"Colorado do Oeste","Adenite",21
"2013/03",1,"Ji-Paraná","Adenite",1
"2013/03",1,"Ouro Preto do Oeste","Adenite",1
"2013/03",1,"Porto Velho","Adenite",1
"2014/03",1,"Ariquemes","Adenite",1
"2014/03",1,"Colorado do Oeste","Adenite",6
"2014/03",1,"Ji-Paraná","Adenite",5
"2015/03",1,"Colorado do Oeste","Adenite",10
"2016/03",1,"Alto Paraíso","Adenite",4
"2016/03",1,"Corumbiara","Adenite",20
"2016/03",1,"Monte Negro","Adenite",7
"2016/03",1,"Pimenta Bueno","Adenite",12
"2016/03",1,"São Francisco do Guaporé","Adenite",3
"2017/03",1,"Cabixi","Adenite",2
"2017/03",1,"Vilhena","Adenite",8
"2018/03",1,"Alto Alegre dos Parecis","Adenite",4
"2018/03",1,"Chupinguaia","Adenite",14
"2018/03",1,"Pimenta Bueno","Adenite",1
"2019/03",1,"Parecis","Adenite",2
"2019/03",1,"Pimenteiras do Oeste","Adenite",6
"2019/03",1,"São Felipe d'Oeste","Adenite",2
"2009/04",1,"Cerejeiras","Adenite",1
"2010/04",1,"Chupinguaia","Adenite",1
"2010/04",1,"Corumbiara","Adenite",6
"2010/04",1,"Itapuã do Oeste","Adenite",1
